"Tablo","Kolon","Veri Tipi","Null?","Kısıtlamalar"
chat_messages,message_id,uuid,NO,PRIMARY KEY
chat_messages,session_id,uuid,NO,FOREIGN KEY
chat_messages,role,text,NO,
chat_messages,content,text,NO,
chat_messages,created_at,timestamp with time zone,NO,
chat_sessions,session_id,uuid,NO,PRIMARY KEY
chat_sessions,user_id,uuid,NO,FOREIGN KEY
chat_sessions,created_at,timestamp with time zone,NO,
chat_sessions,title,text,YES,
daily_nutrient_totals,user_id,uuid,NO,"PRIMARY KEY, FOREIGN KEY"
daily_nutrient_totals,day,date,NO,PRIMARY KEY
daily_nutrient_totals,total_energy_kcal,numeric,YES,
daily_nutrient_totals,total_protein_g,numeric,YES,
daily_nutrient_totals,total_fat_g,numeric,YES,
daily_nutrient_totals,total_carbohydrate_g,numeric,YES,
daily_nutrient_totals,total_sodium_mg,numeric,YES,
daily_nutrient_totals,updated_at,timestamp with time zone,NO,
disease_nutrient_limits,id,bigint,NO,PRIMARY KEY
disease_nutrient_limits,disease_name,text,NO,
disease_nutrient_limits,nutrient_tag,text,NO,
disease_nutrient_limits,limit_type,text,NO,
disease_nutrient_limits,value,double precision,YES,
disease_nutrient_limits,unit,text,YES,
disease_nutrient_limits,condition_note,text,YES,
disease_nutrient_limits,source_primary,text,YES,
disease_nutrient_limits,source_url,text,YES,
drug_food_interactions,id,bigint,NO,PRIMARY KEY
drug_food_interactions,drug_name,text,NO,
drug_food_interactions,drug_class,text,YES,
drug_food_interactions,atc_code,text,YES,
drug_food_interactions,food_name_tr,text,NO,
drug_food_interactions,nutrient_focus,text,YES,
drug_food_interactions,interaction_effect,text,YES,
drug_food_interactions,mechanism,text,YES,
drug_food_interactions,recommendation_tr,text,YES,
drug_food_interactions,source_primary,text,YES,
drug_food_interactions,source_url,text,YES,
drug_intake_events,intake_event_id,uuid,NO,PRIMARY KEY
drug_intake_events,user_id,uuid,NO,UNIQUE
drug_intake_events,user_drug_id,uuid,NO,FOREIGN KEY
drug_intake_events,client_event_id,text,NO,UNIQUE
drug_intake_events,action,text,NO,
